Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
Machina of the Planet Tree -Unity Unions-;Japan;From the developer of Machina of the Planet Tree -Planet Ruler-, comes the next installment in the series, Unity Unions! A young jewelmancer must stop the reawakening of a great evil an...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1209720/header.jpg?t=1590118356;Sekai Project;Denneko Yuugi;Windows;https://store.steampowered.com/app/1209720/Machina_of_the_Planet_Tree_Unity_Unions/;15 May, 2020;Action, Indie;Unknown;Unknown;Unknown;Unknown
RaiOhGar: Asuka and the King of Steel;Japan;Having cornered the evil organization Trizon, our hero Kouta and his partner Asuka move to the remote island of Okigashima with their trusted super robot RaiOhGar to prepare for a fierc...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1163070/header.jpg?t=1729118743;Kagura Games;GapTax;Windows;https://store.steampowered.com/app/1163070/RaiOhGar_Asuka_and_the_King_of_Steel/;14 May, 2020;Indie, RPG;Unknown;Unknown;Unknown;Unknown
Mine Dungeon2 ~Rurumu's trip~;Japan;We’re back with cute girls and minesweeping! A minesweeper action adventure with enemies and obstacles to conquer! Our latest edition includes a hit point (HP) system and mine detecti...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1295740/header.jpg?t=1715758326;CelLab;CelLab;Windows;https://store.steampowered.com/app/1295740/Mine_Dungeon2_Rurumus_trip/;29 Sep, 2020;Action, Indie;Unknown;Unknown;Unknown;Unknown
Monster Girls You-ki Chan;Japan;This is a simple execute and jump action with two buttons, jump and shot. Recover the human world from a corps of monsters with a variety of weapons and techniques while freely grabbing...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1219860/header.jpg?t=1725090293;Nanakusadou, Shady Corner Games;Nanakusadou;Windows;https://store.steampowered.com/app/1219860/Monster_Girls_Youki_Chan/;5 May, 2020;Action, Indie;Unknown;Unknown;Unknown;Unknown
MiNNaDe Counter Fight;Japan;"""MiNNaDe Counter Fight"" is a ramen cooking game based on the VR Ramen Shop Simulator ""Counter Fight"" that allows up to four players to enjoy local multiplayer. Familiar customers and ro...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1266480/header.jpg?t=1588816809;Tricol Co., Ltd.;Tricol Co., Ltd.;Windows;https://store.steampowered.com/app/1266480/MiNNaDe_Counter_Fight/;1 May, 2020;Action, Casual, Indie, Early Access;Unknown;Unknown;Unknown;Unknown
Yumeutsutsu Re:After;Japan;"What happens ""After?"" Five stories to continue the possible endings of Yumeutsutsu Re:master.";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1267260/header.jpg?t=1723880673;KOMODO;KOGADO STUDIO;Windows;https://store.steampowered.com/app/1267260/Yumeutsutsu_ReAfter/;22 Apr, 2020;Adventure;Unknown;Unknown;Unknown;Unknown
NoWaitHero;Japan;"Deck building card battle ""NoWaitHero"" There is no need to wait during a duel. Seize the victory ahead of the choice.";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1289900/header.jpg?t=1588921040;Shun Okabe;Shun Okabe;Windows;https://store.steampowered.com/app/1289900/NoWaitHero/;7 May, 2020;Indie;Unknown;Unknown;Unknown;Unknown
Kurogane of the sky;Japan;A game where you control a fleet-scale airship and fight enemy flying battleships. I think it's more like a simulation or a strategy than an action.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1267410/header.jpg?t=1587622199;hukurou91;hukurou91;Windows;https://store.steampowered.com/app/1267410/Kurogane_of_the_sky/;17 Apr, 2020;Simulation, Strategy, Early Access;Unknown;Unknown;Unknown;Unknown
Hippoboar Rancher ~かばいの牧場物語~;Japan;Welcome to the world of Hippoboar Rancher! As dark elf loan shark Logan Lansdale, you'll raise super-cute hippoboars, take on quests, and cultivate crops on your quest to become the mos...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1195090/header.jpg?t=1585818878;OTUSUN LAND;OTUSUN LAND;Windows;https://store.steampowered.com/app/1195090/Hippoboar_Rancher/;31 Mar, 2020;Casual, Simulation;Unknown;Unknown;Unknown;Unknown
Agartha;Japan;Agartha is an puzzle platformer where you play various adventurers carving out their way through countless levels using very limited resources.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1002420/header.jpg?t=1728181076;Fruitbat Factory;Shindenken;Windows;https://store.steampowered.com/app/1002420/Agartha/;20 Mar, 2019;Action, Indie;Unknown;Unknown;Unknown;Unknown
