Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
Star Wars™ Pinball VR;Hungary;Immerse yourself with 8 amazing Star Wars™ Pinball tables in VR - including one based on The Mandalorian - and level up the pinball action with a customizable Fan Cave, Career Mode, F;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1530770/header.jpg?t=1686922695;Zen Studios;Zen Studios;Windows, Playstation;https://store.steampowered.com/app/1530770/Star_Wars_Pinball_VR/;29 Apr, 2021;Simulation;;https://store.playstation.com/en-us/product/UP4042-CUSA27137_00-2555967245711676/;;
Terraforming Earth;Hungary;Hardcore puzzle solving infused with roguelike action. Think quick on your feet and bring life back to Earth after a mysterious AI accident. Can you use your brain while being chased ar;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1029220/header.jpg?t=1637965304;Lost Robots;Lost Robots;Windows, macOS;https://store.steampowered.com/app/1029220/Terraforming_Earth/;28 Aug, 2020;Action, Adventure, Indie;;;;
Five Nations;Hungary;Five Nations is a real-time sci-fi strategy game for PC platform. Encompassing tactical combat in space in real-time mixed with micromanagement of economy, construction, and production ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1565670/header.jpg?t=1692043190;SilverForge;SilverForge;Windows;https://store.steampowered.com/app/1565670/Five_Nations/;4 May, 2021;Indie, Strategy;;;;
Regrowth;Hungary;Regrowth is a puzzle game where you race against time to save islands from sinking. Use plants and animals, collect and channel water... However, only with strategy and optimisation can;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1346210/header.jpg?t=1724997683;Portgate Studios;Portgate Studios;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/1346210/Regrowth/;19 Apr, 2021;Casual, Indie, Strategy;;;;
BlackChain;Hungary;A classic single-player RTS set in a Solar System ruled by megacorporations. Journey from Mars all the way to Planet 9 and uncover the secrets of the BlackChain.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1500970/header.jpg?t=1621129362;Borington;Borington;Windows;https://store.steampowered.com/app/1500970/BlackChain/;17 Mar, 2021;Indie, Strategy;;;;
Bugvasion TD;Hungary;Alien possessed bugs are attacking your home, stop them by any means with your arsenal of home made bug repellents and insect crushers, think fast, act fast, because the bugvasion is im;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1337000/header.jpg?t=1632130082;Full Screen Games;Full Screen Games;Windows, SteamOS + Linux, Nintendo;https://store.steampowered.com/app/1337000/Bugvasion_TD/;17 Feb, 2021;Action, Casual, Strategy;;;;https://www.nintendo.com/us/store/products/bugvasion-td-switch/
One Shell Straight to Hell;Hungary;One Shell Straight to Hell pits a heavily armed Padre Alexander against hordes of demons and the possessed in an isometric dungeon crawling, roguelite shooter with a pinch of base defen;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1330370/header.jpg?t=1662416960;Feardemic;Shotgun with Glitters;Windows;https://store.steampowered.com/app/1330370/One_Shell_Straight_to_Hell/;9 Feb, 2021;Action, Adventure, Indie;;;;
She turned me into a newt!;Hungary;You've been turned into a newt by a necromantress! Your task is to find the way to turn back.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1512570/header.jpg?t=1668374495;Teleport Games Bt;Teleport Games Bt;Windows;https://store.steampowered.com/app/1512570/She_turned_me_into_a_newt/;31 Jan, 2021;Adventure, Indie;;;;
AMazing TD;Hungary;AMazing TD is a unique strategy game that focuses on building mazes in a competitive Tower Defense gameplay. Explore endless possibilities as you play on maps with distinct randomized t;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1140030/header.jpg?t=1683055765;Go4 Entertainment;Go4 Entertainment;Windows;https://store.steampowered.com/app/1140030/AMazing_TD/;30 Mar, 2021;Indie, Strategy;;;;
My Last Memories About You;Hungary;My Last Memories About You is about a husband who is fulfilling the last wish of his late wife in this short first-person exploration game. The game is short, but in exchange delivers a;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1504260/header.jpg?t=1610385785;Kevei Kristóf;Kevei Kristóf;Windows;https://store.steampowered.com/app/1504260/My_Last_Memories_About_You/;11 Jan, 2021;Adventure, Casual, Indie;;;;
