Country;;Steam_Link
Japan;;https://store.steampowered.com/app/552700/WORLD_OF_FINAL_FANTASY/
Japan;;https://store.steampowered.com/app/687260/Tokyo_Dark/
Japan;;https://store.steampowered.com/app/609150/STAR_OCEAN__THE_LAST_HOPE__4K__Full_HD_Remaster/
Japan;;https://store.steampowered.com/app/502280/BERSERK_and_the_Band_of_the_Hawk/
Japan;;https://store.steampowered.com/app/927380/Yakuza_Kiwami_2/
Japan;;https://store.steampowered.com/app/606370/Romancing_SaGa_2/
Japan;;https://store.steampowered.com/app/543900/METAL_GEAR_SURVIVE/
Japan;;https://store.steampowered.com/app/235460/METAL_GEAR_RISING_REVENGEANCE/
Japan;;https://store.steampowered.com/app/794600/LET_IT_DIE/
Japan;;https://store.steampowered.com/app/761600/Onimusha_Warlords/
Japan;;https://store.steampowered.com/app/460810/Vanquish/
Japan;;https://store.steampowered.com/app/460790/Bayonetta/
Japan;;https://store.steampowered.com/app/601150/Devil_May_Cry_5/
Japan;;https://store.steampowered.com/app/682570/SGZH_School_GirlZombie_Hunter/
Japan;;https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/
Japan;;https://store.steampowered.com/app/525240/LOST_SPHEAR/
Japan;;https://store.steampowered.com/app/574050/DRAGON_QUEST_HEROES_II/
Japan;;https://store.steampowered.com/app/524220/NieRAutomata/
Japan;;https://store.steampowered.com/app/637670/Secret_of_Mana/
Japan;;https://store.steampowered.com/app/601050/Attack_on_Titan_2__AOT2/
Japan;;https://store.steampowered.com/app/637650/FINAL_FANTASY_XV_WINDOWS_EDITION/
Japan;;https://store.steampowered.com/app/34270/SEGA_Mega_Drive_and_Genesis_Classics/
Japan;;https://store.steampowered.com/app/893180/Catherine_Classic/
Japan;;https://store.steampowered.com/app/335300/DARK_SOULS_II_Scholar_of_the_First_Sin/
Japan;;https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/
Japan;;https://store.steampowered.com/app/638970/Yakuza_0/
Japan;;https://store.steampowered.com/app/311340/METAL_GEAR_SOLID_V_GROUND_ZEROES/
Japan;;https://store.steampowered.com/app/287700/METAL_GEAR_SOLID_V_THE_PHANTOM_PAIN/
Chile;;https://store.steampowered.com/app/1794750/Stay_with_Me_Alien_Abduction_Story/
Iceland;;https://store.steampowered.com/app/779650/Ready_Player_One_OASIS_beta/
Lithuania;;https://store.steampowered.com/app/1783470/Experiment_Of_Being/
New Zealand;;https://store.steampowered.com/app/1599560/Wanderer/
New Zealand;;https://store.steampowered.com/app/274940/Depth/
New Zealand;;https://store.steampowered.com/app/340520/Tallowmere/
Romania;;https://store.steampowered.com/app/2020840/Left_to_Rot/
Greece;;https://store.steampowered.com/app/1343260/I_dream_of_you_and_ice_cream/
Australia;;https://store.steampowered.com/app/261640/Borderlands_The_PreSequel/
Australia;;https://store.steampowered.com/app/110800/LA_Noire/
