Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Kraino Rebirth;Mexico;Non-Linear Metroidvania world;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1809090/header.jpg?t=1726939043;GameAtomic;GameAtomic;Windows;To be announced;Action, Adventure, Indie;https://store.steampowered.com/app/1809090/Kraino_Rebirth/;Unknown;;;;
LATAMAN;Mexico;Lataman the punk that fights the punks because they ruined the punk.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1705970/header.jpg?t=1644314008;TOXAPEZ;NEGAS, UNOS SHABOS;Windows;8 Feb, 2022;Action;https://store.steampowered.com/app/1705970/LATAMAN/;Unknown;;;;
La Bestia: The Migrant's Long Journey;Mexico;Imagine having to leave your home and everything you know behind. Live the experience of a migrant immersed in a lonely journey while listening to the stories of your companions.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2741300/header.jpg?t=1733260693;LaViRIA;Angel Daniela Hernández Torres, Martín St. John Clarke Bideau, Uriel Haile Hernández Belmonte, Bryan Alberto Olmos Ramírez;Windows;29 Feb, 2024;Simulation;https://store.steampowered.com/app/2741300/La_Bestia_The_Migrants_Long_Journey/;Unknown;;;;
La Llorona Wants Your Soul;Mexico;"Join a group of young streamers traveling to the town of ""San Juan de los Muertos"" to find real evidence of the spirit of a tormented woman called ""La Llorona,"" who haunts the village...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/664010/header.jpg?t=1727396045;Focka Games;Focka Games;Windows;26 Sep, 2024;Action, Adventure, Casual, Indie;https://store.steampowered.com/app/664010/La_Llorona_Wants_Your_Soul/;Unknown;;;;
Last Man;Mexico;Become the Last Man on his quest to retrieve the Jade Monkey for Master. Just shoot everything that moves while sidescrolling to the right with up to 3 friends! Face endless waves of ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1113360/header.jpg?t=1589580310;War Industries Games;War Industries Games;Windows;15 May, 2020;Action, Adventure, Indie;https://store.steampowered.com/app/1113360/Last_Man/;Unknown;;;;
Last Neighbor;Mexico;You play as a young thief who broke into the wrong house, he thought the place was empty because he saw the owners leaving with suitcases, but there was still somebody in the house. I...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1184570/header.jpg?t=1745065490;edco;edco;Windows;13 Nov, 2019;Action, Casual, Indie;https://store.steampowered.com/app/1184570/Last_Neighbor/;Unknown;;;;
Legends of Duels;Mexico;Legends of Duels is a real-time multiplayer TCG where champions with unique abilities engage in strategic duels. Build your deck and challenge the world!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2414660/header.jpg?t=1725412744;Legend;Legend;Windows;To be announced;Action, Indie, Strategy, Free To Play, Early Access;https://store.steampowered.com/app/2414660/Legends_of_Duels/;Unknown;;;;
Lily And Sury - Adventures on Cristya;Mexico;Classic platform game, retro style. Help Lily or Sury to rescue your friends from the Evil Wuning, through 8 worlds and approximately 32 levels.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3379580/header.jpg?t=1740498715;Lemoon Pie Games;Al-link;Windows, SteamOS + Linux;25 Feb, 2025;Action, Adventure, Indie;https://store.steampowered.com/app/3379580/Lily_And_Sury__Adventures_on_Cristya/;Unknown;;;;
Locked in my Darkness;Mexico;Locked in my Darkness is a psychological horror game & horror atmosphere, which takes place in an apartment complex.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2095140/header.jpg?t=1744304374;indie.io;Blusagi Team;Windows, SteamOS + Linux;9 Dec, 2022;Indie, Simulation;https://store.steampowered.com/app/2095140/Locked_in_my_Darkness/;Unknown;;;;
Lola - The Escape;Mexico;In this challenging action platformer. Help the little cow Lola to escape from the Martians who kidnapped her. Explore and avoid obstacles in each level. Her main ability is to float ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1743280/header.jpg?t=1631801896;Hujiol Games;Humberto Jiménez Olea;Windows, macOS;16 Sep, 2021;Action, Adventure, Indie;https://store.steampowered.com/app/1743280/Lola__The_Escape/;Unknown;;;;
